Reference;Family;Genus;Species;Binomial;Group;life_span;growth_form;sla;sla_sd;sla_se;max_height;min_height;herbivores;tm;tm_var;tm_sd;tm_se;occ;Complete Reference
Schroeder_(1989);Pinaceae;Abies;alba;Abies_alba;G;Perennial;Tree;10.44286135;;;50;;30;0.89;;;;104846;Schroeder, S. 1989. Outcrossing Rates and Seed Characteristics in Damaged Natural_Populations of Abies alba Mill. Silvae Genetica 38:185_185.
Giannini_(1995);Pinaceae;Abies;alba;Abies_alba;G;Perennial;Tree;10.44286135;;;50;;30;0.896;;;;104846;Giannini et al. 1995. J. Genetics & Breeding 48: 335_337.
Neale_(1985);Pinaceae;Abies;balsamea;Abies_balsamea;G;Perennial;Tree;10.48066892;;;49.74723463;;2;0.78;;;;6537;Neale, D. B., and W. T. Adams. 1985. Allozyme and mating_system variation in balsam fir (Aibes balsamea) across a continuous elevational transect. Canadian Journal of Botany 63:2448_2453.
Neale_(1985);Pinaceae;Abies;balsamea;Abies_balsamea;G;Perennial;Tree;10.48066892;;;49.74723463;;2;0.91;;;;6537;Neale, D. B., and W. T. Adams. 1985. Allozyme and mating_system variation in balsam fir (Aibes balsamea) across a continuous elevational transect. Canadian Journal of Botany 63:2448_2453.
Neale_(1985);Pinaceae;Abies;balsamea;Abies_balsamea;G;Perennial;Tree;10.48066892;;;49.74723463;;2;0.99;;;;6537;Neale, D. B., and W. T. Adams. 1985. Allozyme and mating_system variation in balsam fir (Aibes balsamea) across a continuous elevational transect. Canadian Journal of Botany 63:2448_2453.
Neale_(1985);Pinaceae;Abies;balsamea;Abies_balsamea;G;Perennial;Tree;10.48066892;;;49.74723463;;2;0.87;;;;6537;Neale, D. B., and W. T. Adams. 1985. Allozyme and mating_system variation in balsam fir (Aibes balsamea) across a continuous elevational transect. Canadian Journal of Botany 63:2448_2453.
Li_(2012);Malvaceae;Alcea;rosea;Alcea_rosea;D;Perennial;Tree;14.45;;;2.7;0.9;7;0.981;;;0.007;9004;"	Li, Q., C.-J. Ruan, J. A. T. da Silva, and X.-Y. Wang. 2012a. Floral morphology and mating system of Alcea rosea (Malvaceae). Plant Ecology and Evolution 145:176-184."
Li_(2012);Malvaceae;Alcea;rosea;Alcea_rosea;D;Perennial;Tree;14.45;;;2.7;0.9;7;0.979;;;0.003;9004;"	Li, Q., C.-J. Ruan, J. A. T. da Silva, and X.-Y. Wang. 2012a. Floral morphology and mating system of Alcea rosea (Malvaceae). Plant Ecology and Evolution 145:176-184."
Li_(2012);Malvaceae;Alcea;rosea;Alcea_rosea;D;Perennial;Tree;14.45;;;2.7;0.9;7;0.972;;;0;9004;"	Li, Q., C.-J. Ruan, J. A. T. da Silva, and X.-Y. Wang. 2012a. Floral morphology and mating system of Alcea rosea (Malvaceae). Plant Ecology and Evolution 145:176-184."
Jain_(1882);Amaranthaceae;Amaranthus;hybridus_subsp._cruentus;Amaranthus_hybridus_subsp._cruentus;D;Annual;Herb;19.73332099;;;1.279264133;;1;0.31;0.25;;;6147;Jain SK, Hauptil H, Vaidya KR. 1882. Outcrossing rate in grain amaranths. Journal of Heredity. 73: 71-72.
Herlihy_(2005);Ranunculaceae;Aquilegia;vulgaris;Aquilegia_vulgaris;D;Perennial;Herb;22.6;;;1;0.4;9;0.365;;;;83258;Herlihy et al. 2005 unpublished data
